text	start	duration	sequence_id	sentence
ho	36.844	0.14099999999999824	6	Second 12 pe brain activation drop ho raha hai.
raha	37.025	0.3200000000000003	6	Second 12 pe brain activation drop ho raha hai.
hai.	37.385	0.1600000000000037	6	Second 12 pe brain activation drop ho raha hai.
Cut	38.146	0.28000000000000114	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
karo,	38.506	0.4209999999999994	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
b-roll	39.367	0.5609999999999999	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
dalo,	39.968	0.4609999999999985	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
fix	40.829	0.30100000000000193	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
karo,	41.23	0.4200000000000017	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
fir	42.111	0.2600000000000051	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
publish	42.431	0.4610000000000056	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
karo.	42.952	0.38000000000000256	7	Cut karo, b-roll dalo, fix karo, fir publish karo.
Yeh	43.753	0.259999999999998	8	Yeh hai mera content engine.
hai	44.073	0.1599999999999966	8	Yeh hai mera content engine.
mera	44.293	0.3410000000000011	8	Yeh hai mera content engine.
content	44.674	0.5009999999999977	8	Yeh hai mera content engine.
engine.	45.315	0.35999999999999943	8	Yeh hai mera content engine.
Aur	46.396	0.14000000000000057	9	Aur aaj mein yeh blueprint share kar raha hun.
aaj	46.696	0.1810000000000045	9	Aur aaj mein yeh blueprint share kar raha hun.
mein	46.937	0.20000000000000284	9	Aur aaj mein yeh blueprint share kar raha hun.
yeh	47.177	0.17999999999999972	9	Aur aaj mein yeh blueprint share kar raha hun.
blueprint	47.397	0.5410000000000039	9	Aur aaj mein yeh blueprint share kar raha hun.
share	47.998	0.3200000000000003	9	Aur aaj mein yeh blueprint share kar raha hun.
kar	48.358	0.2010000000000005	9	Aur aaj mein yeh blueprint share kar raha hun.
raha	48.619	0.29999999999999716	9	Aur aaj mein yeh blueprint share kar raha hun.
hun.	48.959	0.21999999999999886	9	Aur aaj mein yeh blueprint share kar raha hun.
